date,delay,distance,origin,destination
01011005,5,870,Schwarzach-St.Veit,Flensburg
01010836,0,693,Berchtesgaden Hbf,Hamburg-Altona
01010714,0,693,Hamburg-Altona,Berchtesgaden Hbf
01011414,0,469,Hamburg-Altona,Heidelberg Hbf
01012045,0,611,München Hbf,Hamburg Hbf
01011819,0,527,Berlin Ostbahnhof,Karlsruhe Hbf
01011928,0,323,München Hbf,Wiesbaden Hbf
01011928,0,455,München Hbf,Köln Hbf
01011754,25,504,Berlin Ostbahnhof,München Hbf
01011906,0,485,Paris Est,Frankfurt(Main)Hbf
01011349,0,521,Berlin Südkreuz,Karlsruhe Hbf
01011553,0,520,Dresden Hbf,Saarbrücken Hbf
01011837,0,477,Dortmund Hbf,München Hbf
01011828,0,612,München Hbf,Hamburg-Altona
01011137,0,670,Graz Hbf,Saarbrücken Hbf
01011728,0,508,München Hbf,Münster(Westf)Hbf
01011523,0,504,Berlin Ostbahnhof,München Hbf
01011710,0,485,Paris Est,Frankfurt(Main)Hbf
01011927,0,533,Stuttgart Hbf,Hamburg-Altona
01011509,5,533,Hamburg-Altona,Stuttgart Hbf
01011901,20,485,Frankfurt(Main)Hbf,Paris Est
01011637,0,477,Dortmund Hbf,München Hbf
01011628,0,504,München Hbf,Berlin Hbf (tief)
01011357,5,505,Berlin Südkreuz,Stuttgart Hbf
01011740,0,154,Saarbrücken Hbf,Frankfurt(Main)Hbf
01011756,0,168,Stuttgart Hbf,Saarbrücken Hbf
01011528,0,612,München Hbf,Hamburg-Altona
01011323,0,504,Berlin Ostbahnhof,München Hbf
01011723,0,533,Stuttgart Hbf,Hamburg-Altona
01011309,0,533,Hamburg-Altona,Stuttgart Hbf
01011656,5,485,Frankfurt(Main)Hbf,Paris Est
01011437,0,477,Dortmund Hbf,München Hbf
01011428,0,499,München Hbf,Berlin Südkreuz
01010843,0,739,Klagenfurt Hbf,Dortmund Hbf
01011328,0,477,München Hbf,Dortmund Hbf
01011123,0,504,Berlin Ostbahnhof,München Hbf
01011310,0,485,Paris Est,Frankfurt(Main)Hbf
01011527,0,619,Stuttgart Hbf,Kiel Hbf
01011109,0,533,Hamburg-Altona,Stuttgart Hbf
01011446,0,154,Frankfurt(Main)Hbf,Saarbrücken Hbf
01011237,0,477,Dortmund Hbf,München Hbf
01011228,0,504,München Hbf,Berlin Ostbahnhof
01011345,0,168,Saarbrücken Hbf,Stuttgart Hbf
01011128,0,477,München Hbf,Dortmund Hbf
01010923,0,504,Berlin Ostbahnhof,München Hbf
01011327,0,533,Stuttgart Hbf,Hamburg-Altona
01010909,0,533,Hamburg-Altona,Stuttgart Hbf
01011301,0,485,Frankfurt(Main)Hbf,Paris Est
01011037,0,477,Dortmund Hbf,München Hbf
01011028,5,504,München Hbf,Berlin Ostbahnhof
01010928,5,477,München Hbf,Dortmund Hbf
01010723,0,504,Berlin Ostbahnhof,München Hbf
01010906,0,485,Paris Est,Frankfurt(Main)Hbf
01011127,0,533,Stuttgart Hbf,Hamburg-Altona
01010708,0,533,Hamburg-Altona,Stuttgart Hbf
01010527,0,612,Hamburg-Altona,München Hbf
01010828,30,504,München Hbf,Berlin Ostbahnhof
01010631,0,766,Münster(Westf)Hbf,Klagenfurt Hbf
01010728,0,477,München Hbf,Dortmund Hbf
01010519,0,504,Berlin Ostbahnhof,München Hbf
01010927,0,533,Stuttgart Hbf,Hamburg-Altona
01010901,0,485,Frankfurt(Main)Hbf,Paris Est
01010638,0,477,Dortmund Hbf,München Hbf
01010851,0,511,Stuttgart Hbf,Berlin Ostbahnhof
01010527,0,477,München Hbf,Dortmund Hbf
01010750,0,304,Frankfurt(Main)Hbf,München Hbf
01010727,0,533,Stuttgart Hbf,Hamburg-Altona
01010555,0,455,Köln Hbf,München Hbf
01010651,0,511,Stuttgart Hbf,Berlin Ostbahnhof
01010533,0,670,Saarbrücken Hbf,Graz Hbf
01010325,0,477,München Hbf,Dortmund Hbf
01010523,0,816,Frankfurt(Main)Hbf,Budapest-Keleti pu
01011725,5,508,Paris Est,Stuttgart Hbf
01011525,0,690,Paris Est,München Hbf
01011654,130,508,Stuttgart Hbf,Paris Est
01011125,5,508,Paris Est,Stuttgart Hbf
01011254,5,508,Stuttgart Hbf,Paris Est
01010725,0,508,Paris Est,Stuttgart Hbf
01010626,5,690,München Hbf,Paris Est
01010901,5,240,Karlsruhe Hbf,Köln Hbf
01010651,0,518,Karlsruhe Hbf,Hamburg-Altona
01010558,0,527,Karlsruhe Hbf,Berlin Ostbahnhof
01011910,0,163,Zürich HB,Stuttgart Hbf
01011956,0,163,Stuttgart Hbf,Zürich HB
01011710,0,163,Zürich HB,Stuttgart Hbf
01011757,0,163,Stuttgart Hbf,Zürich HB
01011510,0,163,Zürich HB,Stuttgart Hbf
01011556,0,163,Stuttgart Hbf,Zürich HB
01011310,0,163,Zürich HB,Stuttgart Hbf
01011356,0,163,Stuttgart Hbf,Zürich HB
01011110,0,163,Zürich HB,Stuttgart Hbf
01011156,0,163,Stuttgart Hbf,Zürich HB
01010910,0,163,Zürich HB,Stuttgart Hbf
01010956,0,163,Stuttgart Hbf,Zürich HB
01010710,0,163,Zürich HB,Stuttgart Hbf
01010756,0,163,Stuttgart Hbf,Zürich HB
01012037,0,328,Dortmund Hbf,Stuttgart Hbf
01012209,0,168,Stuttgart Hbf,Saarbrücken Hbf
01011737,0,365,Leipzig Hbf,Stuttgart Hbf
01011709,0,533,Hamburg-Altona,Stuttgart Hbf
01011029,5,695,Ostseebad Binz,Stuttgart Hbf
01012124,0,219,Heidelberg Hbf,Kassel-Wilhelmshöhe
01012035,0,151,Stuttgart Hbf,Mainz Hbf
01012020,0,152,Frankfurt(Main)Hbf,Stuttgart Hbf
01011448,0,505,Berlin Südkreuz,Stuttgart Hbf
01012009,0,152,Stuttgart Hbf,Frankfurt(Main)Hbf
01011937,0,288,Stuttgart Hbf,Köln Hbf
01011159,10,535,Berlin Südkreuz,Tübingen Hbf
01011855,0,282,Stuttgart Hbf,Kassel-Wilhelmshöhe
01010926,0,684,Westerland(Sylt),Stuttgart Hbf
01011820,0,304,Frankfurt(Main)Hbf,München Hbf
01011028,0,570,Klagenfurt Hbf,Frankfurt(Main)Hbf
01011741,0,369,Stuttgart Hbf,Münster(Westf)Hbf
01010959,35,505,Berlin Südkreuz,Stuttgart Hbf
01010722,20,671,Stralsund Hbf,Stuttgart Hbf
01011636,0,158,Stuttgart Hbf,Wiesbaden Hbf
01011620,0,456,Frankfurt(Main)Hbf,Linz Hbf
01011605,0,152,Stuttgart Hbf,Frankfurt(Main)Hbf
01011152,0,328,Dortmund Hbf,Stuttgart Hbf
01010832,20,533,Hamburg-Altona,Stuttgart Hbf
01011420,0,570,Frankfurt(Main)Hbf,Klagenfurt Hbf
01010544,0,600,Graz Hbf,Frankfurt(Main)Hbf
01011220,0,600,Frankfurt(Main)Hbf,Graz Hbf
01010751,0,409,Salzburg Hbf,Frankfurt(Main)Hbf
01011137,25,533,Stuttgart Hbf,Hamburg-Altona
01011020,0,152,Frankfurt(Main)Hbf,Stuttgart Hbf
01011005,0,152,Stuttgart Hbf,Frankfurt(Main)Hbf
01010937,20,533,Stuttgart Hbf,Hamburg-Altona
01010822,0,570,Frankfurt(Main)Hbf,Klagenfurt Hbf
01010737,0,671,Stuttgart Hbf,Stralsund Hbf
01012150,0,189,München Hbf,Stuttgart Hbf
01010740,0,554,Hannover Hbf,Oberstdorf
01010947,0,463,Oberstdorf,Leipzig Hbf
01011619,0,477,München Hbf,Dortmund Hbf
01010435,0,189,Stuttgart Hbf,München Hbf
01012247,0,189,München Hbf,Stuttgart Hbf
01012042,5,614,Zürich HB,Amsterdam Centraal
01012042,0,694,Zürich HB,Hamburg-Altona
01012112,0,224,Basel SBB,Mannheim Hbf
01011942,5,672,Zürich HB,Berlin-Lichtenberg
01011942,0,527,Zürich HB,Praha hl.n.
01011419,0,692,Berlin Ostbahnhof,Basel SBB
01011900,0,304,Zürich HB,Frankfurt(Main)Hbf
01011655,0,380,Köln Hbf,Basel SBB
01011826,0,968,Basel SBB,Koebenhavn H
01011222,0,761,Berlin Ostbahnhof,Interlaken Ost
01011700,0,669,Zürich HB,Berlin Ostbahnhof
01011455,0,380,Köln Hbf,Basel SBB
01011019,0,761,Berlin Ostbahnhof,Interlaken Ost
01011137,0,442,Dortmund Hbf,Basel SBB
01011512,0,570,Basel SBB,Amsterdam Centraal
01011512,0,380,Basel SBB,Köln Hbf
01010819,0,692,Berlin Ostbahnhof,Basel SBB
01011200,50,761,Interlaken Ost,Berlin Ostbahnhof
01011055,0,380,Köln Hbf,Basel SBB
01011055,0,380,Köln Hbf,Basel SBB
01011312,5,442,Basel SBB,Dortmund Hbf
01010548,0,763,Berlin Gesundbrunnen,Interlaken Ost
01011000,0,761,Interlaken Ost,Berlin Ostbahnhof
01010540,0,559,Hannover Hbf,Basel SBB
01011112,0,380,Basel SBB,Köln Hbf
01010850,0,384,Frankfurt(Main)Hbf,Interlaken Ost
01010800,0,761,Interlaken Ost,Berlin Ostbahnhof
01010912,15,380,Basel SBB,Köln Hbf
01010650,0,304,Frankfurt(Main)Hbf,Zürich HB
01010600,0,760,Interlaken Ost,Berlin Hbf (tief)
01012257,0,436,Duisburg Hbf,Basel SBB
01011712,5,604,Kiel Hbf,Karlsruhe Hbf
01011229,0,700,Ostseebad Binz,Karlsruhe Hbf
01011250,0,673,Stralsund Hbf,Karlsruhe Hbf
01011845,0,251,München Hbf,Karlsruhe Hbf
01012006,0,251,Karlsruhe Hbf,München Hbf
01010927,0,673,Stralsund Hbf,Karlsruhe Hbf
01011806,0,251,Karlsruhe Hbf,München Hbf
01011708,0,62,Stuttgart Hbf,Karlsruhe Hbf
01011710,5,518,Karlsruhe Hbf,Hamburg-Altona
01011606,0,367,Karlsruhe Hbf,Salzburg Hbf
01011247,0,251,München Hbf,Karlsruhe Hbf
01011510,0,621,Karlsruhe Hbf,Rostock Hbf
01011103,0,268,Kassel-Wilhelmshöhe,Karlsruhe Hbf
01010903,0,268,Kassel-Wilhelmshöhe,Karlsruhe Hbf
01011206,0,251,Karlsruhe Hbf,München Hbf
01010845,0,251,München Hbf,Karlsruhe Hbf
01011110,0,673,Karlsruhe Hbf,Stralsund Hbf
01010910,0,518,Karlsruhe Hbf,Hamburg-Altona
01010806,0,251,Karlsruhe Hbf,München Hbf
01012212,0,436,Basel SBB,Duisburg Hbf
01011924,0,439,Dortmund Hbf,Basel Bad Bf
01011619,0,692,Berlin Ostbahnhof,Basel SBB
01011609,0,688,Hamburg-Altona,Basel SBB
01011855,0,380,Köln Hbf,Basel SBB
01011912,0,442,Basel SBB,Dortmund Hbf
01011912,0,442,Basel SBB,Dortmund Hbf
01012324,0,393,Frankfurt(Main)Hbf,Hamburg-Altona
01012023,0,324,Wiesbaden Hbf,Leipzig Hbf
01011553,0,402,Dresden Hbf,Wiesbaden Hbf
01012022,0,296,Frankfurt(Main)Hbf,Leipzig Hbf
01012016,5,152,Frankfurt(Main)Hbf,Köln Hbf
01011929,0,364,Frankfurt(Main)Hbf,Amsterdam Centraal
01011823,0,402,Wiesbaden Hbf,Dresden Hbf
01011353,0,402,Dresden Hbf,Wiesbaden Hbf
01011829,0,317,Frankfurt(Main)Hbf,Bruxelles-Midi
01011822,0,420,Frankfurt(Main)Hbf,Berlin Südkreuz
01011816,0,152,Frankfurt(Main)Hbf,Köln Hbf
01011623,0,402,Wiesbaden Hbf,Dresden Hbf
01011716,5,339,Frankfurt(Main)Hbf,Oldenburg(Oldb)
01011153,0,402,Dresden Hbf,Wiesbaden Hbf
01011629,0,364,Frankfurt(Main)Hbf,Amsterdam Centraal
01011617,0,420,Frankfurt(Main)Hbf,Berlin Südkreuz
01011542,0,393,Frankfurt(Main)Hbf,Hamburg-Altona
01011423,0,402,Wiesbaden Hbf,Dresden Hbf
01011517,0,152,Frankfurt(Main)Hbf,Köln Hbf
01010953,0,402,Dresden Hbf,Wiesbaden Hbf
01011418,0,420,Frankfurt(Main)Hbf,Berlin Südkreuz
01011416,0,317,Frankfurt(Main)Hbf,Bruxelles-Midi
01011344,0,393,Frankfurt(Main)Hbf,Hamburg-Altona
01011329,80,364,Frankfurt(Main)Hbf,Amsterdam Centraal
01011223,0,402,Wiesbaden Hbf,Dresden Hbf
01010753,0,402,Dresden Hbf,Wiesbaden Hbf
01011215,0,423,Frankfurt(Main)Hbf,Berlin Hbf (tief)
01011023,0,402,Wiesbaden Hbf,Dresden Hbf
01011042,5,30,Frankfurt(Main)Hbf,Wiesbaden Hbf
01011019,0,420,Frankfurt(Main)Hbf,Berlin Südkreuz
01011016,15,317,Frankfurt(Main)Hbf,Bruxelles-Midi
01010958,0,534,Frankfurt(Main)Hbf,Westerland(Sylt)
01010942,15,478,Frankfurt(Main)Hbf,Kiel Hbf
01010927,0,364,Frankfurt(Main)Hbf,Amsterdam Centraal
01010823,0,402,Wiesbaden Hbf,Dresden Hbf
01010852,0,555,Frankfurt(Main)Hbf,Stralsund Hbf
01010842,0,30,Frankfurt(Main)Hbf,Wiesbaden Hbf
01010816,0,178,Frankfurt(Main)Hbf,Dortmund Hbf
01010729,0,364,Frankfurt(Main)Hbf,Amsterdam Centraal
01010720,0,373,Frankfurt(Main)Hbf,Dresden Hbf
01010638,0,534,Frankfurt(Main)Hbf,Westerland(Sylt)
01010625,0,317,Frankfurt(Main)Hbf,Bruxelles-Midi
01011909,0,533,Hamburg-Altona,Stuttgart Hbf
01011453,0,474,Dresden Hbf,Köln Hbf
01011346,5,484,Düsseldorf Hbf,Dresden Hbf
01011253,10,484,Dresden Hbf,Düsseldorf Hbf
01011120,0,477,Köln Hbf,Berlin Gesundbrunnen
01010546,0,484,Düsseldorf Hbf,Dresden Hbf
01010603,0,389,Leipzig Hbf,Düsseldorf Hbf
01012102,0,259,Hamburg-Altona,Berlin Südkreuz
01011404,30,355,Rostock Hbf,Dresden Hbf
01010857,0,219,Magdeburg Hbf,Rostock Hbf
01011738,0,522,Warszawa Wschodnia,Berlin Hbf
01011443,0,522,Warszawa Wschodnia,Berlin Hbf
01010938,0,522,Warszawa Wschodnia,Berlin Hbf
01010925,0,692,Budapest-Keleti pu,Berlin Hbf (tief)
01010654,0,169,Dresden Hbf,Berlin Gesundbrunnen
01011051,0,148,Leipzig Hbf,Berlin Hbf (tief)
01011752,0,259,Hamburg-Altona,Berlin Südkreuz
01011552,0,259,Hamburg-Altona,Berlin Südkreuz
01011352,10,259,Hamburg-Altona,Berlin Südkreuz
01011152,0,259,Hamburg-Altona,Berlin Südkreuz
01010952,0,259,Hamburg-Altona,Berlin Südkreuz
01010752,0,259,Hamburg-Altona,Berlin Südkreuz
01012248,0,259,Berlin Südkreuz,Hamburg-Altona
01012147,5,241,Berlin-Lichtenberg,Erfurt Hbf
01012147,0,672,Berlin-Lichtenberg,Zürich HB
01012143,0,151,Berlin Gesundbrunnen,Leipzig Hbf
01012137,0,357,Berlin Ostbahnhof,Oldenburg(Oldb)
01012116,0,259,Berlin Südkreuz,Hamburg-Altona
01012056,0,471,Berlin Ostbahnhof,Köln/Bonn Flughafen
01012012,0,505,Berlin-Lichtenberg,München Ost
